product_name,product_quantity,product_reason
Naranga Refreshing Bodywash,100,Initial Opening stock entry
Special Chyawanprash,150,Inward inventory lot allocation
Lemongrass Green Tea,100,Initial setup warehouse inventory allocation
BRAHMI OIL,120,Warehouse inbound allocation transfer
Dentascience Ayurvedic Toothpaste – Strong Gum and Shining Teeth,80,Opening entry for ayurvedic toothpaste
Sukrit Ayurveda Ashwagandhadi Churna,200,Bulk counter stock inward entry
Naranga Vitamin C Face Wash (Soft & Bright Skin with Pimple Control),150,Initial setup counter inventory allocation
Sukrit Ayurveda Chandraprabha Vati,120,Warehouse inbound allocation transfer
Sukrit Ayurveda Punarnavadi Kwath,100,Initial Opening stock entry
Sukrit Ayurveda Shivakshar Pachan Churna,140,Inward inventory lot allocation
Sukrit Ayurveda Sitopaladi Churna,150,Bulk counter stock inward entry
Sukrit Ayurveda Yograj Guggul,120,Warehouse inbound allocation transfer
Triphala churna,100,Initial Opening stock entry
Hingwashtak churna,150,Inward inventory lot allocation
Madhumehantak churna,100,Initial setup warehouse inventory allocation
Herbal Tea,120,Warehouse inbound allocation transfer
Mahanarayan tel,80,Opening entry for Mahanarayan oil
Dashan sanskar manjan,200,Bulk counter stock inward entry
Adbhut Marag,100,Initial Opening stock entry
Adhyatmik Nibandh part-1,150,Inward inventory lot allocation
Adhyatmik Nibandh part-2,150,Inward inventory lot allocation
Adhyatmik Nibandh part-3,150,Inward inventory lot allocation
Adhyatm ki oor badhe,100,Initial setup warehouse inventory allocation
Adhyatm cheta,120,Warehouse inbound allocation transfer
Adhyatm niyantran,80,Opening entry for spiritual control literature
Adhyatm manas yog,200,Bulk counter stock inward entry
Adhyatm yog,120,Warehouse inbound allocation transfer
Adhyatm vigyan,100,Initial Opening stock entry
Adhyatm sikhar,140,Inward inventory lot allocation
Anant ki yatra,150,Bulk counter stock inward entry
ANANT KI YATRA VIHANGAM YOG ( E ),120,Warehouse inbound allocation transfer
Antum k Swar,100,Initial Opening stock entry
Apni maati apna chandan,140,Inward inventory lot allocation
Amrit Jyoti,150,Bulk counter stock inward entry
Amrit nam bhejire,120,Warehouse inbound allocation transfer
Amritvani,100,Initial Opening stock entry
Atharto adhyatm jigyasa,140,Inward inventory lot allocation
Avadhu amal,150,Bulk counter stock inward entry
Ashtang yog,120,Warehouse inbound allocation transfer
Adarsh Sishya,100,Initial Opening stock entry
Aadi Sant ki vani part-1,140,Inward inventory lot allocation
Aadi Sant ki vani part-2,140,Inward inventory lot allocation
Aadi Sant ki vani part-3,140,Inward inventory lot allocation
Aadi Sant ki vani part-4,140,Inward inventory lot allocation
Aap sadafal,150,Bulk counter stock inward entry
Ashram Niyamavali,120,Warehouse inbound allocation transfer
Adhyatm vigyan (5+3),100,Initial Opening stock entry
AATMIK PRAKASH,140,Inward inventory lot allocation
